packet_version,packet_order,model_id,case_id,user_message,model_response,evidence_sha256,human_outcome,failure_category,notes
1.0,1,accounts/fireworks/models/gpt-oss-120b,dif-007,How do I avoid getting charged a fee on my card?,"{
""predicted_intent"": ""card_payment_fee_charged"",
""confidence"": 0.96,
""needs_clarification"": false,
""rationale"": ""User asks how to avoid being charged a fee on their card, which matches the card_payment_fee_charged intent.""
}",422961d1aa2d9a76df5b1b32c30f240bc340918a33df5f78825946d1e3aa5806,,,
1.0,2,accounts/fireworks/models/gpt-oss-120b,amb-008,Can I use it abroad?,"{
""predicted_intent"": ""country_support"",
""confidence"": 0.93,
""needs_clarification"": false,
""rationale"": ""User asks if they can use it abroad, which maps to the country_support intent about using the card in other countries.""
}",25d110ca7c835b0701b189c217ccfcdeffc169e2a319e9aec401baea3f218af6,,,
1.0,3,accounts/fireworks/models/gpt-oss-120b,amb-001,Why was I charged extra?,"{
""predicted_intent"": ""extra_charge_on_statement"",
""confidence"": 0.86,
""needs_clarification"": false,
""rationale"": ""The user asks why they were charged extra, which aligns with the 'extra_charge_on_statement' intent that covers unexpected additional fees on a statement.""
}",c43a0ee2cf0c6a265cd98fbc00bc2a14b130fd870c6b756f157b96f4bba5a6b8,,,
1.0,4,accounts/fireworks/models/gpt-oss-120b,amb-009,How long does it take?,"{
""predicted_intent"": null,
""confidence"": 0.0,
""needs_clarification"": true,
""rationale"": ""The question 'How long does it take?' lacks context about which process (e.g., card delivery, transfer timing, top‑up, etc.) so the intent cannot be determined without clarification.""
}",3549732cc813abf7429099ee2d4d8249055cbfb63325c24905efbb2fdf380db1,,,
1.0,5,accounts/fireworks/models/gpt-oss-120b,dif-020,My statement has a dollar I have been charged showing up on it.,"{
""predicted_intent"": ""extra_charge_on_statement"",
""confidence"": 0.93,
""needs_clarification"": false,
""rationale"": ""User reports an unexpected $1 charge on their statement, matching the extra_charge_on_statement intent.""
}",188d68a083d346c491a2dc4529bd06cd1233ac0010f9cabf441e350134ae09e1,,,
1.0,6,accounts/fireworks/models/gpt-oss-120b,amb-006,It still has not arrived.,"{
""predicted_intent"": ""card_arrival"",
""confidence"": 0.92,
""needs_clarification"": false,
""rationale"": ""User reports that something has not arrived, which matches the card_arrival intent for undelivered cards.""
}",ae35a8244df2e57f2523c24b94c5ca0061cbba8a46adfb87736e7e89a82b7210,,,
1.0,7,accounts/fireworks/models/gpt-oss-120b,dif-001,How do I track my card?,"{
""predicted_intent"": ""card_delivery_estimate"",
""confidence"": 0.97,
""needs_clarification"": false,
""rationale"": ""The user asks how to track their card, which pertains to checking the delivery status or estimate of arrival, matching the 'card_delivery_estimate' intent.""
}",928e9be1bb1098550cdf075d37b7003538d8eff3e8b015f6101ec3a2b0686e7a,,,
1.0,8,accounts/fireworks/models/gpt-oss-120b,dif-017,What is the cause that the transfer shows as pending?,"{
""predicted_intent"": ""pending_transfer"",
""confidence"": 0.97,
""needs_clarification"": false,
""rationale"": ""User asks why a transfer is pending, which matches the pending_transfer intent.""
}",632d7675ba5de0714a76ea399dc7b5d03f41e5cf47f3c9b4a7167d66d5adf3ab,,,
1.0,9,accounts/fireworks/models/gpt-oss-120b,dif-004,"Is there a local ATM that will provide British pounds, I have no money for my homeward journey and do not feel comfortable waiting until  I arrive in Britain. Will a withdrawal involve extra charges?","{
""predicted_intent"": null,
""confidence"": 0.0,
""needs_clarification"": true,
""rationale"": ""The user asks about both finding a local ATM that dispenses GBP and whether withdrawals incur extra charges, which could map to either atm_support or cash_withdrawal_charge. Since multiple intents are plausible, clarification is needed.""
}",3aeeac2b728b4559958cd146e35ad945c2e088e387ddb10f6d6614c6300c7040,,,
1.0,10,accounts/fireworks/models/gpt-oss-120b,amb-004,Where is it?,"{
""predicted_intent"": null,
""confidence"": 0.0,
""needs_clarification"": true,
""rationale"": ""The query 'Where is it?' lacks context about the banking issue, making it impossible to map to a specific Banking77 intent.""
}",025705488f2029850ccf91f11fbdf99153a03d462de1146d2330318d1b2c361f,,,
